flag,url,language,section,handle,url_lastmod,sitemap_url
nordic_typo_norid,https://www.matchwalls.com/pt/products/linhas-bege-noridcas,pt,product,linhas-bege-noridcas,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
nordic_typo_norid,https://www.matchwalls.com/pt/products/linhas-azuis-de-norides-1,pt,product,linhas-azuis-de-norides-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/linhas-azuis-de-norides-1,pt,product,linhas-azuis-de-norides-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/esboco-da-cidade-de-lond-1,pt,product,esboco-da-cidade-de-lond-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/white-and-white-jungle-whispers-1,pt,product,white-and-white-jungle-whispers-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/blue-dot-harmony-rosa-1,pt,product,blue-dot-harmony-rosa-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/blue-dot-harmony-beige-1,pt,product,blue-dot-harmony-beige-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/dot-azul-harmony-green-1,pt,product,dot-azul-harmony-green-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/vista-verde-serena-1,pt,product,vista-verde-serena-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/linear-dynamics-orange-1,pt,product,linear-dynamics-orange-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
suffix_minus_1,https://www.matchwalls.com/pt/products/dinamica-linear-brown-1,pt,product,dinamica-linear-brown-1,2026-06-27T01:13:34+02:00,https://www.matchwalls.com/pt/sitemap_products_1.xml?from=8296203518179&to=14867444826488
