filename,checksum_md5,size
"templates/page.personalizacion.json","6f5a103a6f4e5dd28e6a00052f2fabc7","1405"
"templates/page.press-2.json","d8085538dc93d34f2457f8df79e37e50","73"
"templates/page.press.json","86036a76bc3cecc6316a6e1447f081ef","4529"
"templates/page.profesionales.json","8af33cf6715e609ed1619a5e74b5eb27","5947"
"templates/page.retail.json","9ebc3b14a136b143f72f6422b806094b","14901"
"templates/page.rollos-de-papel-pintado.json","48142a50399be6f25c209ab3eab1ce54","57271"
"templates/page.sobre-nosotros.json","541cd7738a7fbf3503b7075d40db9469","15057"
"templates/page.social_prensa_afiliacion.json","c65dad290c984431dc082b625eafdbaa","13084"
"templates/page.sostenibilidad.json","472071a98909e12cad5a5afbc78813ff","6508"
"templates/page.swym.liquid","7ecc89fbba0743d8511a950fc3233968","19"
"templates/page.tarjeta-regalo.json","c4c94225747c3563ec2f74d3e1551240","3600"
"templates/page.tiendas.json","f91a2696e40f4ce332d010a85cd46ca2","7461"
"templates/page.tiktok.json","f48f93e87cab3a2567abaf4e9c574ce2","407"
"templates/password.json","26ac2d664618e92ddda0defb00700c9f","1782"
"templates/product.art-prints-2.json","c437dda7144764ee1640823204ffd9d7","17797"
"templates/product.art-prints-3.json","1838152059d5b23a1f56f19b87c98c2c","29107"
"templates/product.art-prints.json","a38fc5472687a26778b6740f4e4b5a3d","16247"
"templates/product.cuadros.json","64a87611883ee2969fec1fbc08ab6fc8","17923"
"templates/product.customization.json","0056cb9ae18b871a88440fbab8f3373b","5516"
"templates/product.file-uploader.json","8d7c8176bee335d1917cd4f54500cf1d","9068"
"templates/product.json","84ad6b645f80712e5fcc4e9f66c0520a","9502"
"templates/product.muestra.json","1f6e3ef9c02efef24a88b0f25adea6ea","10410"
"templates/product.murales.json","226eedda0621821b725abc2c6a248c76","35312"
"templates/product.papeles-pintados-rollos.json","0bdab6d4fb946626f35635a7d813b053","32926"
"templates/product.pre-order.json","c81b97721113cdee625a276f1672fb90","831"
"templates/product.rollos.json","a14fc5bcc3b41b792ca092478ca56c03","29281"
"templates/product.tarjeta-regalo.json","e1015cff0ddef74e082d4f782b42a7b6","8707"
"templates/search.json","442da8cb11eaff2e7b57908088739d00","75"
